tweet_id,retweet_count,favorite_count
892420643555336193,6966,33681
892177421306343426,5271,29215
891815181378084864,3464,21966
891689557279858688,7190,36772
891327558926688256,7710,35169
891087950875897856,2584,17738
890971913173991426,1646,10326
890729181411237888,15672,56632
890609185150312448,3603,24408
890240255349198849,6065,27836
890006608113172480,6111,26928
889880896479866881,4139,24466
889665388333682689,8298,41856
889638837579907072,3697,23564
889531135344209921,1873,13309
889278841981685760,4417,22019
888917238123831296,3741,25523
888804989199671297,3510,22378
888554962724278272,2861,17242
888078434458587136,2884,19087
887705289381826560,4514,26512
887517139158093824,9804,40573
887473957103951883,14949,59950
887343217045368832,8772,29471
887101392804085760,4967,26889
886983233522544640,6284,30233
886736880519319552,2614,10457
886680336477933568,3717,19648
886366144734445568,2612,18480
886267009285017600,4,105
886258384151887873,5251,24435
886054160059072513,93,0
885984800019947520,5589,28480
885528943205470208,5305,31465
885518971528720385,3095,17938
885311592912609280,15355,0
885167619883638784,3651,19171
884925521741709313,14936,66974
884876753390489601,4640,24291
884562892145688576,3895,21220
884441805382717440,4775,23775
884247878851493888,16810,62958
884162670584377345,2493,17875
883838122936631299,2850,19079
883482846933004288,8218,40022
883360690899218434,3060,19865
883117836046086144,5510,32370
882992080364220416,3228,20905
882762694511734784,4072,24681
882627270321602560,5038,24513
882268110199369728,9578,39011
882045870035918850,4065,25615
881906580714921986,2837,21364
881666595344535552,8906,44357
881633300179243008,8,113
881536004380872706,13344,43273
881268444196462592,4478,20422
880935762899988482,2325,14988
880872448815771648,3191,18642
880465832366813184,5190,24914
880221127280381952,3445,23568
880095782870896641,3634,24223
879862464715927552,2912,19630
879674319642796034,9,281
879492040517615616,2617,20631
879415818425184262,37242,92450
879376492567855104,2634,14800
879130579576475649,5707,0
879050749262655488,3933,19734
879008229531029506,2230,16717
878776093423087618,3417,17077
878604707211726852,5894,26343
878404777348136964,1070,0
878316110768087041,5498,0
878281511006478336,1070,6753
878057613040115712,5707,37006
877736472329191424,15726,69004
877611172832227328,70,0
877556246731214848,3147,19824
877316821321428993,4320,24056
877201837425926144,4600,23780
876838120628539392,2793,18159
876537666061221889,3961,20988
876484053909872640,1989,16504
876120275196170240,3887,24598
875747767867523072,3564,22023
875144289856114688,4131,19356
875097192612077568,5091,24144
875021211251597312,3952,22479
874680097055178752,3904,24506
874434818259525634,12154,0
874296783580663808,3469,22872
874057562936811520,3367,20044
874012996292530176,8547,30012
873580283840344065,3332,21298
873337748698140672,1325,0
873213775632977920,1325,6300
872967104147763200,4544,23961
872820683541237760,3156,13025
872620804844003328,3058,18263
872486979161796608,7681,35972
872122724285648897,6798,30087
871879754684805121,9204,32947
871762521631449091,2956,17807
871515927908634625,2924,17841
871166179821445120,4876,0
871102520638267392,4649,18482
871032628920680449,3213,20085
870804317367881728,5265,29695
870726314365509632,3,105
870656317836468226,2190,10853
870374049280663552,22647,73683
870308999962521604,3533,19412
870063196459192321,7049,32302
869772420881756160,8657,37879
869702957897576449,5361,24955
869596645499047938,2624,14136
869227993411051520,3181,18078
868880397819494401,12193,57719
868639477480148993,1740,0
868622495443632128,4442,23555
868552278524837888,1740,8924
867900495410671616,3554,21511
867774946302451713,6226,30151
867421006826221569,2109,14292
867072653475098625,100,0
867051520902168576,6754,28595
866720684873056260,4114,17792
866686824827068416,2953,17058
866450705531457537,30042,108438
866334964761202691,12154,46405
866094527597207552,7132,0
865718153858494464,4813,22848
865359393868664832,4269,23501
865006731092295680,6631,24948
864873206498414592,7472,28734
864279568663928832,2568,13023
864197398364647424,7550,26534
863907417377173506,3576,18366
863553081350529029,3610,13621
863471782782697472,2084,0
863432100342583297,4542,21215
863427515083354112,80,1956
863079547188785154,949,7871
863062471531167744,2084,7495
862831371563274240,4442,17170
862722525377298433,3072,15280
862457590147678208,4229,18205
862096992088072192,19891,66026
861383897657036800,9224,32159
861288531465048066,3573,15296
861005113778896900,3317,14929
